month_start,revenue,cogs,operating_expense,gross_profit,net_profit,margin_pct
2022-11-01,816061.97,552606.53,110133.15,263455.44,153322.29,0.1879
2022-12-01,830274.06,376216.84,180693.36,454057.22,273363.86,0.3292
2023-01-01,888184.29,447518.19,163414.47,440666.1,277251.63,0.3122
2023-02-01,858487.51,393390.32,202871.7,465097.19,262225.49,0.3055
2023-03-01,851514.21,485299.32,132210.31,366214.89,234004.58,0.2748
2023-04-01,821337.63,377848.87,101666.15,443488.76,341822.61,0.4162
2023-05-01,814584.76,434660.72,195481.6,379924.04,184442.44,0.2264
2023-06-01,797069.05,525299.13,166828.47,271769.92,104941.45,0.1317
2023-07-01,799850.13,393701.32,165053.66,406148.81,241095.15,0.3014
2023-08-01,778180.4,369324.14,106180.11,408856.26,302676.15,0.389
2023-09-01,796766.43,536332.4,167163.36,260434.03,93270.67,0.1171
2023-10-01,769921.52,426656.44,143802.83,343265.08,199462.25,0.2591
2023-11-01,860151.64,500923.83,129696.26,359227.81,229531.55,0.2669
2023-12-01,917827.75,554588.45,112366.77,363239.3,250872.53,0.2733
2024-01-01,938860.92,464677.61,126602.91,474183.31,347580.4,0.3702
2024-02-01,919813.23,637024.73,211235.32,282788.5,71553.18,0.0778
2024-03-01,877387.96,468095.11,154472.26,409292.85,254820.59,0.2904
2024-04-01,865090.32,566868.36,130712.11,298221.96,167509.85,0.1936
2024-05-01,863992.35,470770.47,106604.65,393221.88,286617.23,0.3317
2024-06-01,827860.48,543824.95,175584.08,284035.53,108451.45,0.131
2024-07-01,809413.3,531140.34,116178.44,278272.96,162094.52,0.2003
2024-08-01,761382.77,385050.66,111338.22,376332.11,264993.89,0.348
2024-09-01,826991.34,389544.51,112419.75,437446.83,325027.08,0.393
2024-10-01,857976.07,449388.41,142515.69,408587.66,266071.97,0.3101
2024-11-01,835736.53,455992.32,100527.83,379744.21,279216.38,0.3341
2024-12-01,930069.57,486222.62,132324.66,443846.95,311522.29,0.3349
2025-01-01,901831.41,594265.78,211729.94,307565.63,95835.69,0.1063
2025-02-01,951909.96,629519.39,235725.62,322390.57,86664.95,0.091
2025-03-01,938184.33,495938.55,177547.38,442245.78,264698.4,0.2821
2025-04-01,935775.43,511157.42,230283.51,424618.01,194334.5,0.2077
2025-05-01,926959.69,550466.14,226495.64,376493.55,149997.91,0.1618
2025-06-01,832576.48,529626.38,132774.27,302950.1,170175.83,0.2044
2025-07-01,845957.21,573350.56,192913.99,272606.65,79692.66,0.0942
2025-08-01,816800.06,518147.24,132178.59,298652.82,166474.23,0.2038
2025-09-01,865281.28,418557.64,159505.52,446723.64,287218.12,0.3319
2025-10-01,869133.14,468356.15,180843.7,400776.99,219933.29,0.253
