ticket_id,created_at,resolved_at,priority,status,assigned_agent,resolution_hours,sla_met,category
T300001,2023-06-04,2023-06-05 21:10:07.648689906,Low,Resolved,Agent_2,45.17,1,Logistics
T300002,2025-01-02,2025-01-02 21:02:47.910553556,Low,Closed,Agent_19,21.05,1,Billing
T300003,2023-11-05,2023-11-20 04:54:29.109112904,Low,Resolved,Agent_12,364.91,0,Billing
T300004,2025-06-29,2025-07-05 00:45:42.305306840,Low,Resolved,Agent_4,144.76,0,Billing
T300005,2023-06-29,2023-06-29 02:21:12.134162791,Medium,Closed,Agent_18,2.35,1,Billing
T300006,2025-07-08,2025-07-11 15:13:18.270783205,Medium,Closed,Agent_2,87.22,0,Technical
T300007,2023-09-17,2023-09-18 08:10:14.621752743,Medium,Closed,Agent_1,32.17,1,Logistics
T300008,2022-12-15,2022-12-19 20:56:11.540657562,Medium,Resolved,Agent_13,116.94,0,Technical
T300009,2024-07-06,2024-07-07 11:22:17.861314635,Medium,Closed,Agent_5,35.37,1,Technical
T300010,2023-08-11,2023-08-11 06:37:32.794006507,Low,Resolved,Agent_19,6.63,1,Technical
T300011,2024-09-02,2024-09-03 09:18:57.982962141,Medium,Resolved,Agent_1,33.32,1,Technical
T300012,2023-01-26,2023-01-28 14:15:07.839677913,Low,Resolved,Agent_2,62.25,1,HR
T300013,2025-08-27,2025-08-27 04:22:39.748127364,Medium,Resolved,Agent_14,4.38,1,Other
T300014,2023-05-02,2023-05-02 16:47:19.683434106,High,Resolved,Agent_9,16.79,1,Logistics
T300015,2023-08-26,2023-08-27 02:57:27.127375560,Medium,Resolved,Agent_8,26.96,1,Technical
T300016,2023-12-03,2023-12-13 09:15:29.140659348,Low,Resolved,Agent_11,249.26,0,Logistics
T300017,2022-11-14,2022-11-14 11:34:16.576067145,High,Resolved,Agent_4,11.57,1,Logistics
T300018,2023-02-08,2023-02-09 01:42:10.307521302,Low,Resolved,Agent_3,25.7,1,Technical
T300019,2024-11-25,2024-11-28 01:51:16.017726971,Medium,Resolved,Agent_5,73.85,0,Logistics
T300020,2023-04-18,2023-04-18 23:43:20.829602440,Medium,Resolved,Agent_14,23.72,1,Technical
T300021,2023-06-20,2023-06-20 10:17:18.010851140,Medium,Resolved,Agent_10,10.29,1,Other
T300022,2024-07-06,2024-07-06 01:01:15.505366050,Low,Resolved,Agent_6,1.02,1,Billing
T300023,2024-10-29,2024-10-29 16:57:30.744449270,High,Closed,Agent_10,16.96,1,Technical
T300024,2023-06-28,2023-06-28 06:06:36.590984378,Low,Closed,Agent_11,6.11,1,Technical
T300025,2023-06-28,2023-07-03 03:29:19.301200839,Low,Resolved,Agent_20,123.49,0,Logistics
T300026,2024-11-02,2024-11-05 06:06:10.423859724,Medium,Escalated,Agent_8,78.1,0,Billing
T300027,2023-07-28,2023-07-28 12:56:50.924292266,Low,Resolved,Agent_4,12.95,1,Technical
T300028,2024-04-23,2024-04-23 05:44:42.587997509,Low,Resolved,Agent_18,5.75,1,Logistics
T300029,2023-10-01,2023-10-02 19:25:25.027597705,Low,Resolved,Agent_20,43.42,1,Logistics
T300030,2024-01-17,2024-01-17 11:32:31.025109175,Low,Resolved,Agent_14,11.54,1,Technical
T300031,2024-10-25,2024-10-25 09:21:59.179988837,High,Resolved,Agent_3,9.37,1,Technical
T300032,2025-04-26,2025-04-27 01:40:10.811895636,Low,Resolved,Agent_12,25.67,1,Logistics
T300033,2023-11-05,2023-11-08 03:22:34.614487775,Low,Resolved,Agent_15,75.38,0,Logistics
T300034,2023-01-14,2023-01-18 10:37:07.753346581,High,Resolved,Agent_8,106.62,0,HR
T300035,2023-12-28,2023-12-28 14:38:48.703546299,Medium,Resolved,Agent_14,14.65,1,Logistics
T300036,2023-01-09,2023-01-11 07:27:05.134496698,Low,Escalated,Agent_6,55.45,1,Billing
T300037,2025-02-12,2025-02-12 10:02:17.188688038,Medium,Closed,Agent_14,10.04,1,Logistics
T300038,2024-11-14,2024-11-17 23:14:19.760806223,Low,Closed,Agent_4,95.24,0,Billing
T300039,2023-07-29,2023-07-29 01:00:00.000000000,Medium,Resolved,Agent_20,1.0,1,Technical
T300040,2023-03-12,2023-03-13 08:39:11.546190075,Low,Resolved,Agent_6,32.65,1,Technical
T300041,2023-02-10,2023-02-10 09:20:14.137210157,Low,Closed,Agent_16,9.34,1,HR
T300042,2024-06-20,2024-06-20 09:20:28.394021193,Low,Escalated,Agent_17,9.34,1,Billing
T300043,2024-09-02,2024-09-03 12:32:52.832166728,Low,Closed,Agent_2,36.55,1,Logistics
T300044,2024-07-27,2024-07-27 17:39:29.497878512,Low,Resolved,Agent_18,17.66,1,Billing
T300045,2025-05-12,2025-05-13 05:29:18.861803740,Low,Resolved,Agent_13,29.49,1,Other
T300046,2025-03-01,2025-03-01 08:45:18.152575981,Medium,Resolved,Agent_20,8.76,1,Technical
T300047,2023-12-25,2023-12-25 14:34:13.094685041,Medium,Resolved,Agent_16,14.57,1,Logistics
T300048,2023-07-19,2023-07-19 08:04:56.108392166,Medium,Closed,Agent_13,8.08,1,Logistics
T300049,2025-07-04,2025-07-04 19:31:41.688947178,High,Resolved,Agent_14,19.53,1,Technical
T300050,2023-12-21,2023-12-21 19:35:07.287070887,Medium,Resolved,Agent_18,19.59,1,Other
T300051,2024-10-01,2024-10-01 08:27:03.374537504,Low,Resolved,Agent_8,8.45,1,Logistics
T300052,2024-04-26,2024-04-26 01:00:00.000000000,Low,Resolved,Agent_5,1.0,1,Technical
T300053,2025-07-10,2025-07-10 01:00:00.000000000,Low,Resolved,Agent_9,1.0,1,Technical
T300054,2025-05-18,2025-05-19 02:17:13.126309132,Low,Closed,Agent_15,26.29,1,HR
T300055,2025-01-24,2025-01-24 02:15:44.293458706,Critical,Resolved,Agent_9,2.26,1,Billing
T300056,2022-12-19,2022-12-19 07:17:42.326760621,Medium,Resolved,Agent_20,7.3,1,Technical
T300057,2024-01-18,2024-01-19 22:48:54.095858602,Low,Resolved,Agent_10,46.82,1,HR
T300058,2025-04-03,2025-04-04 16:15:53.993510998,Medium,Resolved,Agent_18,40.26,1,Billing
T300059,2023-04-21,2023-04-21 01:34:17.256494296,Medium,Resolved,Agent_14,1.57,1,Logistics
T300060,2025-05-18,2025-05-18 02:47:45.958963574,Medium,Resolved,Agent_18,2.8,1,Technical
T300061,2025-07-17,2025-07-17 22:04:56.124793749,Low,Resolved,Agent_16,22.08,1,Technical
T300062,2022-11-06,2022-11-07 03:57:31.949108784,Low,Closed,Agent_5,27.96,1,Logistics
T300063,2023-11-04,2023-11-05 00:08:22.373351591,Low,Resolved,Agent_10,24.14,1,HR
T300064,2025-04-12,2025-04-12 12:12:52.035784615,High,Resolved,Agent_20,12.21,1,Technical
T300065,2024-10-22,2024-10-22 04:22:48.906652016,Low,Escalated,Agent_6,4.38,1,Billing
T300066,2025-05-19,2025-05-19 16:23:01.715942441,Medium,Closed,Agent_9,16.38,1,Technical
T300067,2023-08-08,2023-08-09 16:04:44.139137824,Medium,Closed,Agent_16,40.08,1,Other
T300068,2025-10-14,2025-10-16 15:17:58.879668694,Medium,Resolved,Agent_11,63.3,0,Billing
T300069,2025-05-06,2025-05-07 15:26:53.279723449,Low,Closed,Agent_20,39.45,1,Billing
T300070,2024-01-02,2024-01-02 03:34:32.937651282,Medium,Resolved,Agent_18,3.58,1,Other
T300071,2023-12-18,2023-12-19 07:12:01.428376314,Medium,Resolved,Agent_5,31.2,1,HR
T300072,2025-02-16,2025-02-19 04:22:50.066819409,Low,Escalated,Agent_9,76.38,0,Logistics
T300073,2022-12-18,2022-12-18 10:29:19.915529967,Low,Resolved,Agent_11,10.49,1,Billing
T300074,2025-08-23,2025-08-23 06:47:24.019004123,Critical,Closed,Agent_9,6.79,0,Technical
T300075,2024-09-15,2024-09-20 07:59:55.485112598,Low,Open,Agent_4,128.0,0,Billing
T300076,2024-12-27,2024-12-28 06:27:07.610070235,Medium,Resolved,Agent_8,30.45,1,Logistics
T300077,2023-09-25,2023-09-25 12:53:26.723140679,Medium,Open,Agent_5,12.89,1,Technical
T300078,2023-06-21,2023-06-22 04:04:07.326539073,Low,Closed,Agent_3,28.07,1,Billing
T300079,2022-12-30,2022-12-30 01:59:22.543773900,Medium,Resolved,Agent_4,1.99,1,Technical
T300080,2024-06-12,2024-06-13 11:50:45.277425840,Low,Resolved,Agent_16,35.85,1,HR
T300081,2024-04-13,2024-04-16 05:54:06.079618451,Low,Resolved,Agent_13,77.9,0,Logistics
T300082,2025-10-25,2025-10-28 20:08:56.608490145,Medium,Closed,Agent_3,92.15,0,Logistics
T300083,2025-09-20,2025-09-20 06:06:57.567764374,High,Resolved,Agent_4,6.12,1,Billing
T300084,2025-07-09,2025-07-09 13:43:04.526584687,Medium,Open,Agent_1,13.72,1,HR
T300085,2024-12-16,2024-12-16 01:00:00.000000000,High,Resolved,Agent_8,1.0,1,Technical
T300086,2023-03-28,2023-03-30 23:37:31.074073780,Low,Resolved,Agent_9,71.63,1,Technical
T300087,2022-12-17,2022-12-18 06:15:59.018028167,Medium,Escalated,Agent_5,30.27,1,Other
T300088,2023-10-22,2023-10-23 00:45:15.314382005,Low,Closed,Agent_12,24.75,1,Billing
T300089,2024-08-15,2024-08-17 11:17:53.708174828,Low,Resolved,Agent_9,59.3,1,Technical
T300090,2024-01-27,2024-01-27 23:24:49.898535314,Medium,Resolved,Agent_4,23.41,1,Logistics
T300091,2024-04-05,2024-04-07 22:20:05.077836433,Low,Closed,Agent_17,70.33,1,Billing
T300092,2023-04-26,2023-04-26 18:06:00.406163729,Low,Open,Agent_12,18.1,1,Technical
T300093,2025-06-13,2025-06-13 12:37:33.487175714,High,Resolved,Agent_13,12.63,1,Other
T300094,2023-05-29,2023-05-29 11:47:23.459995739,High,Resolved,Agent_11,11.79,1,Technical
T300095,2025-10-01,2025-10-01 04:33:10.015531373,Low,Resolved,Agent_17,4.55,1,Technical
T300096,2023-05-06,2023-05-06 07:54:57.160392476,Medium,Resolved,Agent_15,7.92,1,Logistics
T300097,2025-09-14,2025-09-17 22:26:32.246748569,Low,Resolved,Agent_9,94.44,0,Technical
T300098,2025-08-02,2025-08-02 02:02:13.602775140,High,Resolved,Agent_4,2.04,1,Technical
T300099,2022-12-05,2022-12-05 11:27:21.534243756,Medium,Resolved,Agent_12,11.46,1,Billing
T300100,2024-02-18,2024-02-18 06:07:28.979400279,Medium,Resolved,Agent_3,6.12,1,Billing
T300101,2024-11-28,2024-11-28 03:37:29.727807931,Medium,Resolved,Agent_20,3.62,1,HR
T300102,2024-02-13,2024-02-13 07:02:22.626274747,Low,Closed,Agent_17,7.04,1,HR
T300103,2025-04-25,2025-04-25 20:31:36.558376786,Low,Resolved,Agent_7,20.53,1,Technical
T300104,2024-04-05,2024-04-06 15:02:49.161590592,Medium,Closed,Agent_7,39.05,1,Technical
