order_id,order_date,customer_id,product_id,product_name,category,unit_price,quantity,discount,sales,cogs,profit,region
O200001,2025-10-17,C100147,P3005,Furniture Item 5,Furniture,764.38,4,0.0,3057.52,1304.92,1752.6,East
O200002,2024-09-27,C100374,P4019,Consumables Item 19,Consumables,1074.49,1,0.05,1020.77,528.09,492.68,Central
O200003,2024-02-22,C100688,P5004,Accessories Item 4,Accessories,566.9,2,0.15,963.73,498.86,464.87,Central
O200004,2025-01-28,C100675,P5004,Accessories Item 4,Accessories,566.9,3,0.0,1700.7,921.83,778.87,West
O200005,2023-03-27,C100416,P3005,Furniture Item 5,Furniture,764.38,3,0.05,2178.48,1190.74,987.74,East
O200006,2025-08-12,C100687,P3015,Furniture Item 15,Furniture,1408.62,4,0.0,5634.48,3222.41,2412.07,South
O200007,2024-07-01,C100494,P3019,Furniture Item 19,Furniture,1035.24,5,0.0,5176.2,2260.88,2915.32,East
O200008,2024-01-20,C100559,P1005,Office Supplies Item 5,Office Supplies,367.17,3,0.0,1101.51,442.93,658.58,East
O200009,2023-06-09,C100256,P2012,Technology Item 12,Technology,3897.09,1,0.0,3897.09,2706.15,1190.94,East
O200010,2023-02-03,C100960,P1006,Office Supplies Item 6,Office Supplies,309.21,5,0.0,1546.05,827.04,719.01,East
O200011,2023-07-20,C100686,P5014,Accessories Item 14,Accessories,784.72,6,0.05,4472.9,2887.01,1585.89,South
O200012,2025-04-15,C100103,P2006,Technology Item 6,Technology,1048.28,6,0.0,6289.68,3288.33,3001.35,East
O200013,2025-10-30,C100121,P2017,Technology Item 17,Technology,3583.54,3,0.0,10750.62,8532.5,2218.12,East
O200014,2023-06-07,C100419,P1013,Office Supplies Item 13,Office Supplies,945.16,2,0.0,1890.32,994.63,895.69,Central
O200015,2023-01-31,C100350,P5013,Accessories Item 13,Accessories,1059.89,4,0.0,4239.56,2721.87,1517.69,Central
O200016,2023-03-07,C100657,P4009,Consumables Item 9,Consumables,98.0,2,0.0,196.0,95.65,100.35,East
O200017,2023-01-19,C100042,P2005,Technology Item 5,Technology,4160.53,3,0.0,12481.59,7577.83,4903.76,East
O200018,2025-07-10,C100367,P1013,Office Supplies Item 13,Office Supplies,945.16,4,0.0,3780.64,2388.35,1392.29,East
O200019,2025-05-04,C100029,P5008,Accessories Item 8,Accessories,497.2,3,0.05,1417.02,670.43,746.59,South
O200020,2024-02-29,C100966,P5015,Accessories Item 15,Accessories,191.35,3,0.0,574.05,258.01,316.04,Central
O200021,2024-09-24,C100892,P1020,Office Supplies Item 20,Office Supplies,891.62,4,0.1,3209.83,2533.97,675.86,South
O200022,2022-11-25,C100785,P4012,Consumables Item 12,Consumables,605.54,4,0.2,1937.73,1467.46,470.27,East
O200023,2023-04-05,C100977,P3020,Furniture Item 20,Furniture,1296.14,4,0.0,5184.56,3442.69,1741.87,West
O200024,2024-07-24,C100014,P4013,Consumables Item 13,Consumables,756.61,2,0.0,1513.22,1126.47,386.75,Central
O200025,2025-10-16,C100920,P2001,Technology Item 1,Technology,2209.18,3,0.0,6627.54,2904.35,3723.19,East
O200026,2022-11-19,C100953,P4001,Consumables Item 1,Consumables,1495.23,3,0.0,4485.69,3102.98,1382.71,Central
O200027,2023-06-25,C100818,P5004,Accessories Item 4,Accessories,566.9,5,0.1,2551.05,1311.86,1239.19,West
O200028,2023-08-04,C100825,P4019,Consumables Item 19,Consumables,1074.49,3,0.0,3223.47,1985.0,1238.47,West
O200029,2024-11-14,C100485,P2006,Technology Item 6,Technology,1048.28,2,0.0,2096.56,1480.02,616.54,Central
O200030,2024-05-05,C100189,P3014,Furniture Item 14,Furniture,668.13,3,0.0,2004.39,828.6,1175.79,West
O200031,2024-07-31,C100872,P3002,Furniture Item 2,Furniture,1401.3,5,0.0,7006.5,4749.95,2256.55,South
O200032,2023-06-25,C100295,P1011,Office Supplies Item 11,Office Supplies,610.7,3,0.0,1832.1,1051.53,780.57,South
O200033,2025-07-25,C100183,P2017,Technology Item 17,Technology,3583.54,4,0.0,14334.16,8254.6,6079.56,Central
O200034,2022-12-25,C100864,P1011,Office Supplies Item 11,Office Supplies,610.7,3,0.0,1832.1,1397.73,434.37,West
O200035,2024-09-14,C100548,P2007,Technology Item 7,Technology,1312.26,1,0.0,1312.26,976.18,336.08,Central
O200036,2023-02-17,C100882,P5014,Accessories Item 14,Accessories,784.72,2,0.0,1569.44,663.89,905.55,East
O200037,2023-11-08,C100037,P5003,Accessories Item 3,Accessories,117.58,3,0.1,317.47,205.51,111.96,East
O200038,2025-06-30,C100014,P2014,Technology Item 14,Technology,3038.06,1,0.0,3038.06,1744.87,1293.19,West
O200039,2023-05-20,C100923,P2018,Technology Item 18,Technology,362.51,1,0.0,362.51,162.09,200.42,Central
O200040,2025-02-26,C100635,P4001,Consumables Item 1,Consumables,1495.23,3,0.0,4485.69,3321.3,1164.39,South
O200041,2024-03-23,C100595,P5007,Accessories Item 7,Accessories,687.81,3,0.05,1960.26,840.18,1120.08,South
O200042,2023-08-02,C100159,P3013,Furniture Item 13,Furniture,1077.46,2,0.0,2154.92,889.63,1265.29,South
O200043,2023-05-30,C100494,P4005,Consumables Item 5,Consumables,1091.68,1,0.0,1091.68,522.92,568.76,South
O200044,2024-03-18,C100329,P1003,Office Supplies Item 3,Office Supplies,468.91,3,0.0,1406.73,733.4,673.33,West
O200045,2024-10-03,C100614,P4007,Consumables Item 7,Consumables,334.97,4,0.2,1071.9,454.86,617.04,West
O200046,2022-12-12,C100849,P2008,Technology Item 8,Technology,1671.55,1,0.1,1504.4,987.68,516.72,West
O200047,2023-09-11,C100083,P1014,Office Supplies Item 14,Office Supplies,962.37,3,0.0,2887.11,1659.68,1227.43,Central
O200048,2024-12-27,C100556,P3012,Furniture Item 12,Furniture,806.55,1,0.0,806.55,455.6,350.95,West
O200049,2023-09-25,C100580,P2010,Technology Item 10,Technology,545.3,1,0.0,545.3,249.82,295.48,Central
O200050,2025-09-06,C100560,P3018,Furniture Item 18,Furniture,1136.61,4,0.0,4546.44,2614.73,1931.71,South
O200051,2023-08-10,C100569,P3014,Furniture Item 14,Furniture,668.13,3,0.1,1803.95,1003.12,800.83,East
O200052,2025-05-31,C100587,P4009,Consumables Item 9,Consumables,98.0,4,0.05,372.4,206.11,166.29,East
O200053,2023-07-16,C100022,P1015,Office Supplies Item 15,Office Supplies,1276.5,3,0.0,3829.5,1866.6,1962.9,West
